participant_id,cohort,race_simplified,gender_simplified,accent_simplified,audit_eligible,strict_audit_eligible,prolific_recruitment_group,prolific_filter_matches_self_report,age_bin,income_bin,education,gender_self_report,race_self_report_raw,race_other_text,english_proficiency,english_accent_self_report,english_accent_other_text,primary_language,primary_language_other_text,languages_fluent,languages_fluent_other_text,residency_state,residency_other_text,country_childhood,country_childhood_other_text,state_childhood,recording_device,recording_device_other_text,device_brand_model_text,frequency_voice_assistant,frequency_text_assistant,ux_voice,voice_underperform_text,duration_s
P0137,new_recruits,White,Female,SAE,True,True,wh_fe,True,55-64,"$30,000 to $39,999",Associate degree in college (2-year),Woman,White or European American,,I speak English fluently as a first language,Standard American English,,English,,"English,Spanish",,California,,United States,,California,Laptop/Computer with built-in microphone,,HP 7000 series ...I think,"At least once per month, but not every week","At least once per week, but not every day",Moderately well,Occasionally  the response is so random,1459
P0163,new_recruits,White,Female,non-SAE,True,True,wh_fe,True,45-54,"$70,000 to $79,999",High school graduate (high school diploma or equivalent including GED),Woman,White or European American,,I speak English fluently as a first language,California accent,,English,,English,,California,,United States,,Pennsylvania,Smartphone,,Samsung Galaxy a14,"At least once per week, but not every day","At least once per week, but not every day",Very well,No none that I can think of.,1550
P0159,new_recruits,White,Female,non-SAE,True,True,wh_fe,True,35-44,"$150,000 or more",Associate degree in college (2-year),Woman,White or European American,,I speak English fluently as a first language,New England accent,,English,,English,,California,,United States,,New York,Smartphone,,IPhone 14,Daily or more,Daily or more,Moderately well,"
Sometimes they don't listen fully when I pause to think about what I want to say. ",846
P0126,new_recruits,Black,Male,non-SAE,True,True,bl_ma,True,18-24,"$50,000 to $59,999",High school graduate (high school diploma or equivalent including GED),Man,Black or African American,,I speak English fluently as a first language,African American English,,Other,english,English,,California,,United States,,California,Smartphone,,samsung galaxy a16,"At least once per week, but not every day","At least once per week, but not every day",Very well,nothing in particular,1551
P0194,new_recruits,White,Male,non-SAE,True,True,wh_ma,True,25-34,"$50,000 to $59,999",High school graduate (high school diploma or equivalent including GED),Man,Hispanic or Latino,,I speak English fluently as a first language,"Latino, Hispanic, or Chicano English",,"English,Spanish",,English,,Texas,,United States,,Texas,Laptop/Computer with external microphone,,Dualsense wireless controller(ps5 controller),Daily or more,Daily or more,Extremely well,I  still have trouble with Gemini. It has trouble recognizing my speech. ,1004
P0063,new_recruits,Black,Female,SAE,True,True,bl_fe,True,35-44,"$90,000 to $99,999",Bachelor's degree in college (4-year),Woman,Black or African American,,I speak English fluently as a first language,Standard American English,,English,,English,,Indiana,,United States,,Illinois,Smartphone,,Samsung,"At least once per week, but not every day","At least once per week, but not every day",Very well,,1549
P0080,new_recruits,Black,Male,non-SAE,True,True,bl_ma,True,45-54,"$60,000 to $69,999",Bachelor's degree in college (4-year),Man,Black or African American,,I speak English fluently as a first language,"African American English,Southern accent",,English,,English,,Oklahoma,,United States,,Oklahoma,Laptop/Computer with built-in microphone,,Microsoft surface pro 11,Daily or more,Daily or more,Extremely well,none,1171
P0142,new_recruits,White,Female,non-SAE,True,True,wh_fe,True,25-34,"$100,000 to $149,999",Bachelor's degree in college (4-year),Woman,White or European American,,I speak English fluently as a first language,California accent,,English,,English,,California,,United States,,California,Laptop/Computer with built-in microphone,,MacBook Air Apple M1,"At least once per week, but not every day","At least once per week, but not every day",Moderately well,siri,1149
P0184,new_recruits,White,Female,non-SAE,True,True,wh_fe,True,55-64,"$40,000 to $49,999",Bachelor's degree in college (4-year),Woman,White or European American,,I speak English fluently as a first language,Mid Atlantic accent,,English,,English,,Maine,,United States,,New Jersey,Laptop/Computer with external microphone,,Wireless Headphone with Flexible Mic. Item: VWC105. In the settings it says: WFH-V1,Only a few times,Daily or more,Not well at all,"When asking Siri for information, even something simple like directions there is a chance to do my muffling and mumbling and volume simply does not seem able to understand what I'm asking.",1775
P0152,new_recruits,White,Female,SAE,True,True,wh_fe,True,35-44,"$70,000 to $79,999",Master's degree,Woman,White or European American,,I speak English fluently as a first language,Standard American English,,English,,Spanish,,New Jersey,,United States,,Ohio,Laptop/Computer with built-in microphone,,Lenovo Ideapad,Only a few times,"At least once per week, but not every day",Slightly well,"Yes, sometimes they do not understand the question I am asking and give an unrelated or incorrect answer.",1063
P0238,new_recruits,White,Male,SAE,True,True,wh_ma,True,25-34,"$90,000 to $99,999",Some college but no degree,Man,White or European American,,I speak English fluently as a first language,Standard American English,,English,,English,,Texas,,United States,,Texas,Smartphone,,iPhone 13,"At least once per month, but not every week",Daily or more,Moderately well,Sometimes not getting everything I say accurately.,1235
P0182,new_recruits,White,Female,SAE,True,True,wh_fe,True,25-34,"$90,000 to $99,999",Bachelor's degree in college (4-year),Woman,White or European American,,I speak English fluently as a second or additional language,Standard American English,,"English,Polish",,"English,Polish",,Illinois,,United States,,Illinois,Smartphone,,iPhone 13,"At least once per week, but not every day","At least once per month, but not every week",Moderately well,"There are times where the question appears to be very direct, but the speech assistants hear something else and provide wrong answers. ",1573
P0056,new_recruits,Black,Female,SAE,True,True,bl_fe,True,25-34,"$90,000 to $99,999",Bachelor's degree in college (4-year),Woman,"Black or African American,Native Hawaiian or Other Pacific Islander",,I speak English fluently as a first language,Standard American English,,"English,Japanese",,English,,New York,,United States,,New York,Smartphone,,Iphone 15,Daily or more,"At least once per week, but not every day",Moderately well,"They often misunderstand what I’m saying, especially with background noise or if I phrase something differently. Sometimes the responses feel off or too limited, which can get frustrating.",945
P0178,new_recruits,White,Female,non-SAE,True,True,wh_fe,True,35-44,"$10,000 to $19,999",Less than high school degree,Woman,White or European American,,I speak English fluently as a first language,Southern accent,,English,,English,,Virginia,,United States,,Virginia,Smartphone,,Samsung galaxy a26,"At least once per week, but not every day",Only a few times,Very well,Sometimes they are inaccurate ,1008
P0104,new_recruits,Black,Male,non-SAE,True,True,bl_ma,True,18-24,"$100,000 to $149,999",Some college but no degree,Man,Black or African American,,I speak English fluently as a first language,"Southern accent,Standard American English",,English,,English,,Texas,,United States,,Texas,Laptop/Computer with built-in microphone,,Lenovo IdeaPad Gaming 3,Daily or more,"At least once per month, but not every week",Moderately well,"Just not responding, or blatantly misinterpreting.",1068
P0054,new_recruits,Black,Female,non-SAE,True,True,bl_fe,True,25-34,"$50,000 to $59,999",Some college but no degree,Woman,Black or African American,,I speak English fluently as a first language,"African American English,Standard American English",,English,,English,,New York,,United States,,New York,Smartphone,,iPhone 14 Plus ,Daily or more,Daily or more,Extremely well,,731
P0040,new_recruits,Black,Female,non-SAE,True,True,bl_fe,True,55-64,"$100,000 to $149,999",Master's degree,Woman,Black or African American,,I speak English fluently as a first language,African American English,,English,,English,,Illinois,,United States,,Illinois,Laptop/Computer with built-in microphone,,Apple MacBook Air Model A2337,Daily or more,Daily or more,Very well,I have had to call the name more than once to get it started.,1788
P0206,new_recruits,White,Male,SAE,True,True,wh_ma,True,25-34,"$20,000 to $29,999",Bachelor's degree in college (4-year),Man,White or European American,,I speak English fluently as a first language,Standard American English,,English,,English,,Florida,,United States,,Florida,Laptop/Computer with external microphone,,Windows 11 PC ,Not at all,Daily or more,Slightly well,"Google Assistant has misunderstood me mildly a few times, including thinking I am talking to it but getting what I said correct and also getting what I said wrong while I was addressing it.",1473
P0029,new_recruits,Black,Female,non-SAE,True,True,bl_fe,True,35-44,"Less than $10,000",Master's degree,Woman,Black or African American,,I speak English fluently as a first language,African American English,,English,,English,,Georgia,,United States,,Georgia,Smartphone,,Samsung galaxy 10,Only a few times,"At least once per month, but not every week",Very well,Sometimes they don't always catch what your saying and that can be frustrating.,1357
P0115,new_recruits,Black,Male,non-SAE,True,True,bl_ma,True,25-34,"$50,000 to $59,999",Bachelor's degree in college (4-year),Man,Black or African American,,I speak English fluently as a first language,African American English,,English,,English,,Ohio,,United States,,New York,Laptop/Computer with built-in microphone,,I used a Samsung Galaxy Book 4 pro,"At least once per month, but not every week",Daily or more,Very well,No specific ways.,844
P0048,new_recruits,Black,Female,non-SAE,True,True,bl_fe,True,18-24,"$20,000 to $29,999",Some college but no degree,Woman,Black or African American,,I speak English fluently as a first language,"Standard American English,Other","Sometimes, I use Antiguan creole English dialect",English,,English,,Alabama,,United States,,"Alabama,Florida,North Carolina,Virginia",Smartphone,,Samsung Galaxy A15,Not at all,"At least once per week, but not every day",Moderately well,I dont use voice assistant ,1350
